dataset,subject,session,freesurfer741ants243__Brainstem,freesurfer741ants243__Left-Accumbens-area,freesurfer741ants243__Left-Amygdala,freesurfer741ants243__Left-Caudate,freesurfer741ants243__Left-Hippocampus,freesurfer741ants243__Left-Pallidum,freesurfer741ants243__Left-Putamen,freesurfer741ants243__Left-Thalamus,freesurfer741ants243__Right-Accumbens-area,freesurfer741ants243__Right-Amygdala,freesurfer741ants243__Right-Caudate,freesurfer741ants243__Right-Hippocampus,freesurfer741ants243__Right-Pallidum,freesurfer741ants243__Right-Putamen,freesurfer741ants243__Right-Thalamus,freesurfer8001ants243__Brainstem,freesurfer8001ants243__Left-Accumbens-area,freesurfer8001ants243__Left-Amygdala,freesurfer8001ants243__Left-Caudate,freesurfer8001ants243__Left-Hippocampus,freesurfer8001ants243__Left-Pallidum,freesurfer8001ants243__Left-Putamen,freesurfer8001ants243__Left-Thalamus,freesurfer8001ants243__Right-Accumbens-area,freesurfer8001ants243__Right-Amygdala,freesurfer8001ants243__Right-Caudate,freesurfer8001ants243__Right-Hippocampus,freesurfer8001ants243__Right-Pallidum,freesurfer8001ants243__Right-Putamen,freesurfer8001ants243__Right-Thalamus,fslanat6071ants243__Brainstem,fslanat6071ants243__Left-Accumbens-area,fslanat6071ants243__Left-Amygdala,fslanat6071ants243__Left-Caudate,fslanat6071ants243__Left-Hippocampus,fslanat6071ants243__Left-Pallidum,fslanat6071ants243__Left-Putamen,fslanat6071ants243__Left-Thalamus,fslanat6071ants243__Right-Accumbens-area,fslanat6071ants243__Right-Amygdala,fslanat6071ants243__Right-Caudate,fslanat6071ants243__Right-Hippocampus,fslanat6071ants243__Right-Pallidum,fslanat6071ants243__Right-Putamen,fslanat6071ants243__Right-Thalamus,samseg8001ants243__Brainstem,samseg8001ants243__Left-Accumbens-area,samseg8001ants243__Left-Amygdala,samseg8001ants243__Left-Caudate,samseg8001ants243__Left-Hippocampus,samseg8001ants243__Left-Pallidum,samseg8001ants243__Left-Putamen,samseg8001ants243__Left-Thalamus,samseg8001ants243__Right-Accumbens-area,samseg8001ants243__Right-Amygdala,samseg8001ants243__Right-Caudate,samseg8001ants243__Right-Hippocampus,samseg8001ants243__Right-Pallidum,samseg8001ants243__Right-Putamen,samseg8001ants243__Right-Thalamus
FastSurfer,sub-021,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22946.305026,507.392023,1294.848058,3565.568159,3697.664165,1804.800081,5127.680229,8448.000378,392.192018,1346.56006,3643.392163,3725.312167,1748.480078,5123.072229,7857.664351,,,,,,,,,,,,,,,
FastSurfer,sub-022,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19509.153003,591.67497,1670.066915,3499.628821,4359.529777,1625.476917,5038.326743,7527.134615,498.035975,1532.180922,3632.026814,3970.910797,1711.569913,4899.41175,7349.117625,,,,,,,,,,,,,,,
FastSurfer,sub-023,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22492.5,575.0,1210.0,3227.5,3311.25,1728.75,4530.0,7543.75,418.75,1058.75,3377.5,3157.5,1650.0,4487.5,7307.5,,,,,,,,,,,,,,,
FastSurfer,sub-024,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18568.75,462.5,1507.5,2822.5,2411.25,1607.5,4083.75,6802.5,302.5,1600.0,2935.0,2725.0,1541.25,4115.0,6935.0,,,,,,,,,,,,,,,
FastSurfer,sub-025,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22531.963739,689.99889,945.998478,3455.994438,4145.993328,1668.997314,5197.991635,8572.986203,508.999181,902.998547,3637.994145,4030.993513,1657.997332,5096.991797,7753.987521,,,,,,,,,,,,,,,
FastSurfer,sub-026,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19506.0,613.0,1061.0,2917.0,3607.0,1548.0,3787.0,7064.0,440.0,1337.0,3125.0,3950.0,1649.0,4215.0,7200.0,,,,,,,,,,,,,,,
FastSurfer,sub-027,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28657.5,632.5,1640.0,3576.25,3532.5,2105.0,5655.0,9952.5,688.75,1915.0,3397.5,3816.25,2008.75,4988.75,9347.5,,,,,,,,,,,,,,,
FastSurfer,sub-028,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15945.0,318.75,777.5,3383.75,3436.25,1590.0,4733.75,7487.5,405.0,716.25,3446.25,3451.25,1613.75,4445.0,7372.5,,,,,,,,,,,,,,,
FastSurfer,sub-029,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23859.201067,485.888022,1520.128068,3696.640165,3981.824178,1806.336081,4861.440217,8235.520368,495.616022,1520.128068,3426.304153,4160.512186,1796.60808,5086.720227,8185.856366,,,,,,,,,,,,,,,
FastSurfer,sub-030,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21581.0,496.0,1059.0,3235.0,3736.0,1673.0,5528.0,8132.0,419.0,970.0,3647.0,3880.0,1811.0,5295.0,7835.0,,,,,,,,,,,,,,,
FastSurfer,sub-031,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23789.794922,363.867188,1342.089844,2957.080078,2628.808594,1907.666016,4158.105469,7395.996094,258.398438,1322.314453,3315.673828,2876.660156,2094.873047,4376.953125,7547.607422,,,,,,,,,,,,,,,
FastSurfer,sub-032,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19504.351004,603.336969,1053.695946,3551.764819,3684.162812,1486.561924,4108.79679,7559.719614,540.910972,1284.191934,3816.903805,3724.97981,1518.460922,4264.518782,7363.866624,,,,,,,,,,,,,,,
FastSurfer,sub-033,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22815.74502,484.864022,1651.712074,3695.104165,4080.128182,1758.208079,4876.288218,8048.64036,263.680012,1532.928069,3246.080145,3961.856177,1742.848078,4598.784206,7979.520357,,,,,,,,,,,,,,,
FastSurfer,sub-034,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21160.0,695.0,1140.0,3646.25,3901.25,1966.25,5596.25,9091.25,706.25,1392.5,3696.25,3400.0,2058.75,5401.25,8245.0,,,,,,,,,,,,,,,
FastSurfer,sub-035,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21785.0,470.0,1191.25,3155.0,2370.0,1533.75,4368.75,7483.75,243.75,691.25,3256.25,3947.5,1542.5,4085.0,6682.5,,,,,,,,,,,,,,,
FastSurfer,sub-036,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25500.0,542.0,1469.0,4053.0,3197.0,1923.0,5574.0,8547.0,412.0,1266.0,4104.0,3999.0,2020.0,5541.0,8076.0,,,,,,,,,,,,,,,
FastSurfer,sub-037,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22808.010876,585.000279,1527.000728,3536.001686,3637.001734,1841.000878,5481.002614,8749.004172,560.000267,1352.000645,3569.001702,3624.001728,1848.000881,5435.002592,8524.004065,,,,,,,,,,,,,,,
FastSurfer,sub-038,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20370.432911,581.120026,1339.90406,3524.096158,3371.520151,1452.544065,4420.608198,7621.632341,492.032022,1113.60005,3650.560163,3435.008154,1419.776063,4531.200203,7518.208336,,,,,,,,,,,,,,,
FastSurfer,sub-039,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21090.304943,651.264029,1441.280064,3403.264152,3951.104177,1643.008073,4998.144223,8538.112382,420.352019,1688.576075,3778.560169,4137.984185,1638.912073,4887.040218,8203.264367,,,,,,,,,,,,,,,
FastSurfer,sub-040,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24649.729102,505.856023,1593.344071,3631.616162,3231.232144,1733.120077,4772.352213,8324.608372,507.392023,1630.720073,3790.336169,3740.160167,1818.624081,4829.696216,7936.512355,,,,,,,,,,,,,,,
FastSurfer,sub-041,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21996.0,294.0,607.0,2298.0,2544.0,1388.0,4387.0,6405.0,252.0,2075.0,2633.0,1877.0,1496.0,6572.0,6593.0,,,,,,,,,,,,,,,
FastSurfer,sub-042,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20922.5,302.5,1325.0,3075.0,3527.5,1443.75,4120.0,7287.5,271.25,1470.0,3052.5,3513.75,1480.0,3857.5,7220.0,,,,,,,,,,,,,,,
